Open,Close,High,Low,Volume,Time
1125.38,1116.21,1125.38,1113.21,,2004-07-06
1116.21,1118.33,1122.37,1114.92,,2004-07-07
1118.33,1109.11,1119.12,1108.72,,2004-07-08
1109.11,1112.8101,1115.57,1109.11,,2004-07-09
1112.8101,1114.35,1116.11,1106.71,,2004-07-12
1114.35,1115.14,1116.3001,1112.99,,2004-07-13
1115.14,1111.47,1119.6,1107.83,,2004-07-14
1111.47,1106.6899,1114.63,1106.67,,2004-07-15
1106.6899,1101.39,1112.17,1101.07,,2004-07-16
1101.39,1100.9,1105.52,1096.5501,,2004-07-19
1100.9,1108.67,1108.88,1099.1,,2004-07-20
1108.67,1093.88,1116.27,1093.88,,2004-07-21
1093.88,1096.84,1099.66,1084.16,,2004-07-22
1096.84,1086.2,1096.84,1083.5601,,2004-07-23
1086.2,1084.07,1089.82,1078.78,,2004-07-26
1084.07,1094.83,1096.65,1084.07,,2004-07-27
1094.83,1095.42,1098.84,1082.17,,2004-07-28
1095.42,1100.4301,1103.51,1095.42,,2004-07-29
1100.4301,1101.72,1103.73,1096.96,,2004-07-30
1101.72,1106.62,1108.6,1097.34,,2004-08-02
1106.62,1099.6899,1106.62,1099.26,,2004-08-03
1099.6899,1098.63,1102.45,1092.4,,2004-08-04
1098.63,1080.7,1098.79,1079.98,,2004-08-05
1080.7,1063.97,1080.7,1062.23,,2004-08-06
1063.97,1065.22,1069.46,1063.97,,2004-08-09
1065.22,1079.04,1079.04,1065.22,,2004-08-10
1079.04,1075.79,1079.04,1065.92,,2004-08-11
1075.79,1063.23,1075.79,1062.82,,2004-08-12
1063.23,1064.8001,1067.58,1060.72,,2004-08-13
1064.8001,1079.34,1080.66,1064.8001,,2004-08-16
1079.34,1081.71,1086.78,1079.34,,2004-08-17
1081.71,1095.17,1095.17,1078.9301,,2004-08-18
1095.17,1091.23,1095.17,1086.28,,2004-08-19
1091.23,1098.35,1100.26,1089.57,,2004-08-20
1098.35,1095.6801,1101.4,1094.73,,2004-08-23
1095.6801,1096.1899,1100.9399,1092.82,,2004-08-24
1096.1899,1104.96,1106.29,1093.24,,2004-08-25
1104.96,1105.09,1106.78,1102.46,,2004-08-26
1105.09,1107.77,1109.6801,1104.62,,2004-08-27
1107.77,1099.15,1107.77,1099.15,,2004-08-30
1099.15,1104.24,1104.24,1094.72,,2004-08-31
1104.24,1105.91,1109.24,1099.1801,,2004-09-01
1105.91,1118.3101,1119.11,1105.6,,2004-09-02
1118.3101,1113.63,1120.8001,1113.57,,2004-09-03
1113.63,1121.3001,1124.08,1113.63,,2004-09-07
1121.3001,1116.27,1123.0501,1116.27,,2004-09-08
1116.27,1118.38,1121.3001,1113.62,,2004-09-09
1118.38,1123.92,1125.26,1114.39,,2004-09-10
1123.92,1125.82,1129.78,1123.35,,2004-09-13
1125.82,1128.33,1129.46,1124.72,,2004-09-14
1128.33,1120.37,1128.33,1119.82,,2004-09-15
1120.37,1123.5,1126.0601,1120.37,,2004-09-16
1123.5,1128.5501,1130.14,1123.5,,2004-09-17
1128.5501,1122.2,1128.5501,1120.34,,2004-09-20
1122.2,1129.3001,1131.54,1122.2,,2004-09-21
1129.3001,1113.5601,1129.3001,1112.67,,2004-09-22
1113.5601,1108.36,1113.61,1108.0501,,2004-09-23
1108.36,1110.11,1113.8101,1108.36,,2004-09-24
1110.11,1103.52,1110.11,1103.24,,2004-09-27
1103.52,1110.0601,1111.77,1101.29,,2004-09-28
1110.0601,1114.8001,1114.8001,1107.42,,2004-09-29
1114.8001,1114.58,1116.3101,1109.6801,,2004-09-30
1114.58,1131.5,1131.64,1114.58,,2004-10-01
1131.5,1135.17,1140.13,1131.5,,2004-10-04
1135.17,1134.48,1137.87,1132.03,,2004-10-05
1134.48,1142.0501,1142.0501,1132.9399,,2004-10-06
