Open,Close,High,Low,Adj_Close,Volume,Time
0.00,104.25,104.79,103.61,104.25,104.25,"Aug 13, 1976"
0.00,104.22,104.64,103.38,104.22,104.22,"Aug 12, 1976"
0.00,104.06,105.24,103.73,104.06,104.06,"Aug 11, 1976"
0.00,104.41,104.71,103.21,104.41,104.41,"Aug 10, 1976"
0.00,103.49,104.02,103.01,103.49,103.49,"Aug 09, 1976"
0.00,103.79,104.25,103.10,103.79,103.79,"Aug 06, 1976"
0.00,103.85,104.76,103.48,103.85,103.85,"Aug 05, 1976"
0.00,104.43,105.18,103.72,104.43,104.43,"Aug 04, 1976"
0.00,104.14,104.49,102.79,104.14,104.14,"Aug 03, 1976"
0.00,103.19,103.98,102.64,103.19,103.19,"Aug 02, 1976"
0.00,103.44,103.88,102.47,103.44,103.44,"Jul 30, 1976"
0.00,102.93,103.59,102.36,102.93,102.93,"Jul 29, 1976"
0.00,103.05,103.58,102.31,103.05,103.05,"Jul 28, 1976"
0.00,103.48,104.51,103.13,103.48,103.48,"Jul 27, 1976"
0.00,104.07,104.69,103.46,104.07,104.07,"Jul 26, 1976"
0.00,104.06,104.71,103.49,104.06,104.06,"Jul 23, 1976"
0.00,103.93,104.42,103.15,103.93,103.93,"Jul 22, 1976"
0.00,103.82,104.56,103.21,103.82,103.82,"Jul 21, 1976"
0.00,103.72,104.57,103.05,103.72,103.72,"Jul 20, 1976"
0.00,104.29,105.32,103.84,104.29,104.29,"Jul 19, 1976"
0.00,104.68,105.27,103.87,104.68,104.68,"Jul 16, 1976"
0.00,105.20,106.25,104.76,105.20,105.20,"Jul 15, 1976"
0.00,105.95,106.61,105.05,105.95,105.95,"Jul 14, 1976"
0.00,105.67,106.78,105.15,105.67,105.67,"Jul 13, 1976"
0.00,105.90,106.30,104.74,105.90,105.90,"Jul 12, 1976"
0.00,104.98,105.41,103.80,104.98,104.98,"Jul 09, 1976"
0.00,103.98,104.75,103.44,103.98,103.98,"Jul 08, 1976"
0.00,103.83,104.23,102.80,103.83,103.83,"Jul 07, 1976"
0.00,103.54,104.67,103.19,103.54,103.54,"Jul 06, 1976"
0.00,104.11,104.53,103.13,104.11,104.11,"Jul 02, 1976"
0.00,103.59,104.98,103.14,103.59,103.59,"Jul 01, 1976"
0.00,104.28,105.07,103.52,104.28,104.28,"Jun 30, 1976"
0.00,103.86,104.33,102.95,103.86,103.86,"Jun 29, 1976"
0.00,103.43,104.35,102.97,103.43,103.43,"Jun 28, 1976"
0.00,103.72,104.54,103.17,103.72,103.72,"Jun 25, 1976"
0.00,103.79,104.37,102.90,103.79,103.79,"Jun 24, 1976"
0.00,103.25,103.90,102.40,103.25,103.25,"Jun 23, 1976"
0.00,103.47,104.82,103.16,103.47,103.47,"Jun 22, 1976"
0.00,104.28,104.73,103.18,104.28,104.28,"Jun 21, 1976"
